ক্ক,কক,⠈⠅⠅
ল্গ,লগ,⠈⠇⠛
ল্ট,লট,⠈⠇⠾
ল্ড,লড,⠈⠇⠫
ল্প,লপ,⠈⠇⠏
ল্‌ফ,লফ,⠈⠇⠋
ল্ব,লব,⠈⠇⠃
ল্‌ভ,লভ,⠈⠇⠧
ল্ম,লম,⠈⠇⠍
ল্য,লয,⠈⠇⠽
ল্ল,লল,⠈⠇⠇
শ্চ,শচ,⠈⠩⠉
শ্ছ,শছ,⠈⠩⠡
শ্ন,শন,⠈⠩⠝
শ্ব,শব,⠈⠩⠃
শ্ম,শম,⠈⠩⠍
শ্য,শয,⠈⠩⠽
শ্র,শর,⠈⠩⠗
শ্ল,শল,⠈⠩⠇
ষ্ক,ষক,⠈⠯⠅
ষ্ট,ষট,⠈⠯⠾
ষ্ঠ,ষঠ,⠈⠯⠺
ষ্ণ,ষণ,⠈⠯⠼
ষ্প,ষপ,⠈⠯⠏
ষ্ফ,ষফ,⠈⠯⠋
ষ্ব,ষব,⠈⠯⠃
ষ্ম,ষম,⠈⠯⠍
ষ্য,ষয,⠈⠯⠽
স্ক,সক,⠈⠎⠅
স্ক্র,সক্র,⠈⠎⠅
স্খ,সখ,⠈⠎⠭
স্ট,সট,⠈⠎⠾
স্ট্র,সট্র,⠈⠎⠾
স্ত,সত,⠈⠎⠞
স্থ,সথ,⠈⠎⠹
স্ন,সন,⠈⠎⠝
স্প,সপ,⠈⠎⠏
স্ফ,সফ,⠈⠎⠋
স্ব,সব,⠈⠎⠃
স্ম,সম,⠈⠎⠍
স্য,সয,⠈⠎⠽
স্র,সর,⠈⠎⠗
স্ল,সল,⠈⠎⠇
হ্ণ,হণ,⠈⠓⠼
হ্ন,হন,⠈⠓⠝
হ্ব,হব,⠈⠓⠃
হ্ম,হম,⠈⠓⠍
হ্য,হয,⠈⠓⠽
হ্র,হর,⠈⠓⠗
হ্ল,হল,⠈⠓⠇
ঠ্য,ঠয,⠈⠺⠽
