' ',' '
'.','⠲'  
';','⠆'
'|','⠲'
'?','⠦'
'!','⠖'
'-','⠤'
'+','⠰⠖'
'=','⠰⠶'
':','⠒'
':-','⠒⠤⠤'
'—','⠤⠤'
'/','⠌'
'*','⠔⠔'
'[','⠠⠶'
']','⠶⠠'
'(','⠶'
')','⠶'
'√','⠐⠩'
'“','⠦'
'”','⠴'
'‘','⠠⠦'
'’','⠦⠠'
'×','⠰⠦'
'·','⠰⠄'
'÷','⠰⠲'
'{','⠪'
'}','⠕'
'∵','⠈⠌'
'∴','⠠⠡'
'∝','⠒⠶'
'%','⠒⠏'
'>','⠕'
'≯','⠐⠕'
'<','⠪'
'≮','⠐⠪'
'≥','⠕⠶'
'≤','⠪⠶'
'≠','⠐⠶'
'≅','⠐⠤⠶'
'±','⠰⠖⠤'
'∓','⠰⠤⠖'
'→','⠒⠕'
'←','⠪⠒'
'↔','⠪⠒⠕'
'↑','⠒⠊'
'↓','⠒⠢'
'⇒','⠳⠒⠕'
'⇐','⠳⠪⠒'
'∑','⠸⠎'
